"name","phone","website","email","email_status","address","latitude","longitude","rating","rating_count","category","search_term","search_type","search_location","url"
"RK Air Conditioner","+91 90279 10913",,"","","Shop No-6, Mukhiya Ji Market, Sector 137 Rd, near Paras Tierea, Sector 90, Noida, Uttar Pradesh 201304, India",28.5123772,77.4116866,4.6,"1726","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/RK+Air+Conditioner/data=!4m7!3m6!1s0x390ce990047bc6ab:0x1829ce7feeb0e364!8m2!3d28.5123772!4d77.4116866!16s%2Fg%2F11rmvwj6f9!19sChIJq8Z7BJDpDDkRZOOw7n_OKRg?authuser=0&hl=en&rclk=1"
"Kapoor Ac service","+91 70551 35010",,"","","Flat no 1938, near golf course metro station, Arun Vihar, Sector 37, Noida, Uttar Pradesh 201303, India",28.5670458,77.3417748,4.7,"148","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Kapoor+Ac+service/data=!4m7!3m6!1s0x390ce5e7303b8c37:0x15bfafce604b6f0!8m2!3d28.5670458!4d77.3417748!16s%2Fg%2F11s3gf8wys!19sChIJN4w7MOflDDkR8LYE5vz6WwE?authuser=0&hl=en&rclk=1"
"GK Air Conditioner Refrigeration Repairing Service Center | AC service, AC repair, AC gas filing , AC installation in Noida","+91 93157 19396",,"","","near Asquare Mall, Sarfabad Village, Sarfabad, Sector 73, Noida, Uttar Pradesh 201316, India",28.5849172,77.3869482,4.8,"141","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/GK+Air+Conditioner+Refrigeration+Repairing+Service+Center+%7C+AC+service,+AC+repair,+AC+gas+filing+,+AC+installation+in+Noida/data=!4m7!3m6!1s0x390cef2a2372d6c1:0xb287f64f51b38271!8m2!3d28.5849172!4d77.3869482!16s%2Fg%2F11rfpddpvd!19sChIJwdZyIyrvDDkRcYKzUU_2h7I?authuser=0&hl=en&rclk=1"
"Super ac repair service","+91 97561 14005",,"","","shop no.5, Bhagat Singh Mkt, road, near Bihan Haritage, Sector 1, Aimnabad, Bisrakh Jalalpur, Greater Noida, Bisrakh Jalalpur, Uttar Pradesh 201318, India",28.5630942,77.4460403,4.9,"49","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Super+ac+repair+service/data=!4m7!3m6!1s0x390cef88bd67f871:0x40bffe2deb2cfad!8m2!3d28.5630942!4d77.4460403!16s%2Fg%2F11t6wrdprm!19sChIJcfhnvYjvDDkRrc-y3uL_CwQ?authuser=0&hl=en&rclk=1"
"New Tech Air Conditioner","+91 97162 25570",,"","","Shop No 1, Bhari Market, Vill, Suthiyana, Greater Noida, Habibpur, Uttar Pradesh 201318, India",28.5307324,77.4502938,4.7,"87","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/New+Tech+Air+Conditioner/data=!4m7!3m6!1s0x390cea7e98cd1a71:0xa4f08db1a5f8d350!8m2!3d28.5307324!4d77.4502938!16s%2Fg%2F11cnkm2l2c!19sChIJcRrNmH7qDDkRUNP4pbGN8KQ?authuser=0&hl=en&rclk=1"
"ROYAL AC REPAIR SERVICE","+91 78275 25891",,"","","Shop No.3, pramukh market, near inden gas agency, Sector 1, Aimnabad, Bisrakh Jalalpur, Greater Noida, Bisrakh Jalalpur, Uttar Pradesh 201318, India",28.564096,77.4469966,4.9,"39","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/ROYAL+AC+REPAIR+SERVICE/data=!4m7!3m6!1s0x390cef5aaa0fe807:0x4f11dd26a642d56!8m2!3d28.564096!4d77.4469966!16s%2Fg%2F11xgk_p9z_!19sChIJB-gPqlrvDDkRVi1katId8QQ?authuser=0&hl=en&rclk=1"
"A One Air Conditioner","+91 95407 44386",,"","","Shop No 1, Sector 1, Bisrakh Jalalpur, Greater Noida, Bisrakh Jalalpur, Uttar Pradesh 201318, India",28.5732936,77.4412763,4.9,"36","Electronics repair shop","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/A+One+Air+Conditioner/data=!4m7!3m6!1s0x390cef43d72920e3:0x6b9cb3160d2ea8d5!8m2!3d28.5732936!4d77.4412763!16s%2Fg%2F11t2_kvzqw!19sChIJ4yAp10PvDDkR1aguDRaznGs?authuser=0&hl=en&rclk=1"
"Shakeel Ac repair Service","+91 92591 07421",,"","","Shop no.2a, Palm Vill. Society, near Inden gas agency, Sector 1, Aimnabad, Bisrakh Jalalpur, Greater Noida, Bisrakh Jalalpur, Uttar Pradesh 201318, India",28.5609966,77.4451667,4.9,"74","Air conditioning repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Shakeel+Ac+repair+Service/data=!4m7!3m6!1s0x390cef1df21449f1:0x9f817def67d4ef15!8m2!3d28.5609966!4d77.4451667!16s%2Fg%2F11ww0jjvx8!19sChIJ8UkU8h3vDDkRFe_UZ-99gZ8?authuser=0&hl=en&rclk=1"
"Asian Aircon/:ac repair service/ ac installation service/ ac gas filling service","+91 99993 02654",,"","","NCR Region, 12, Near Guitar Society Aimnabad, Bisrakh Jalalpur, Greater Noida, Uttar Pradesh 201318, India",28.5550744,77.4458849,4.9,"105","Appliance repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/Asian+Aircon%2F:ac+repair+service%2F+ac+installation+service%2F+ac+gas+filling+service/data=!4m7!3m6!1s0x390ceeca933ba643:0x2b99085d53af4de4!8m2!3d28.5550744!4d77.4458849!16s%2Fg%2F11tcwlh2w8!19sChIJQ6Y7k8ruDDkR5E2vU10ImSs?authuser=0&hl=en&rclk=1"
"AC WaLa","+91 88741 21390",,"","","shop no.2, near Royal form, Sector 1, Aimnabad, Bisrakh Jalalpur, Greater Noida, Bisrakh Jalalpur, Uttar Pradesh 201318, India",28.5621758,77.4457582,4.7,"40","Repair service","ac service","Google Maps","Noida, Uttar Pradesh, India","https://www.google.com/maps/place/AC+WaLa/data=!4m7!3m6!1s0x390cef62cc627801:0x91581e6eca1c222d!8m2!3d28.5621758!4d77.4457582!16s%2Fg%2F11trjxcxqg!19sChIJAXhizGLvDDkRLSIcym4eWJE?authuser=0&hl=en&rclk=1"
